fecha,CODRUTA,NCOORD,TAREA_CERRADA,HMIN,HMAX,OPCIONES,KM_REPARTO,TIME_REPARTO,KM_REGRESO,TIME_REGRESO
"2021-07-15 00:00:00",1501,1616,0,"2021-07-15 03:04:00","2021-07-15 06:36:00",2,48.83,168,9.14,20
"2021-07-15 00:00:00",2517,280,0,"2021-07-15 07:42:00","2021-07-15 09:30:00",2,67.05,168,56.17,52
"2021-07-15 00:00:00",3022,614,0,"2021-07-15 03:04:00","2021-07-15 08:49:00",2,120.48,168,73.15,51
"2021-07-15 00:00:00",3041,998,0,"2021-07-15 04:08:00","2021-07-15 09:23:00",2,68.5,168,26.24,23
"2021-07-15 00:00:00",3063,409,0,"2021-07-15 05:21:00","2021-07-15 08:16:00",2,39.94,168,16.15,21
"2021-07-15 00:00:00",3065,356,0,"2021-07-15 03:33:00","2021-07-15 07:15:00",2,40.16,168,7.01,15
"2021-07-15 00:00:00",3066,382,0,"2021-07-15 04:11:00","2021-07-15 07:48:00",2,40.83,168,12.93,12
"2021-07-15 00:00:00",3068,436,0,"2021-07-15 04:32:00","2021-07-15 07:20:00",2,41.24,168,8.93,9
"2021-07-15 00:00:00",3092,480,0,"2021-07-15 05:24:00","2021-07-15 09:03:00",2,44.04,168,3.02,9
"2021-07-15 00:00:00",3093,715,0,"2021-07-15 06:09:00","2021-07-15 09:41:00",2,33.15,168,1.22,5
"2021-07-15 00:00:00",3095,648,0,"2021-07-15 06:09:00","2021-07-15 08:57:00",2,25.24,168,1.93,6
"2021-07-15 00:00:00",3601,331,0,"2021-07-15 03:52:00","2021-07-15 05:42:00",2,40.2,168,17.07,22
"2021-07-15 00:00:00",3602,246,0,"2021-07-15 04:02:00","2021-07-15 06:20:00",2,30.94,168,17.43,22
"2021-07-15 00:00:00",3603,284,0,"2021-07-15 03:42:00","2021-07-15 05:25:00",2,31.31,168,2.02,3
"2021-07-15 00:00:00",3605,158,0,"2021-07-15 03:49:00","2021-07-15 05:17:00",2,19.64,168,11.72,13
"2021-07-15 00:00:00",3606,181,0,"2021-07-15 04:03:00","2021-07-15 05:21:00",2,20.52,168,14.25,14
"2021-07-15 00:00:00",3608,898,0,"2021-07-15 03:43:00","2021-07-15 04:57:00",2,24.24,168,8.51,19
"2021-07-15 00:00:00",4001,539,0,"2021-07-15 03:42:00","2021-07-15 07:17:00",2,171.73,168,91.64,67
"2021-07-15 00:00:00",4002,617,0,"2021-07-15 03:35:00","2021-07-15 08:02:00",2,146.59,168,71.36,58
"2021-07-15 00:00:00",4003,976,0,"2021-07-15 03:51:00","2021-07-15 08:18:00",2,219.29,168,20.25,22
"2021-07-15 00:00:00",4101,485,0,"2021-07-15 04:01:00","2021-07-15 08:41:00",2,91.09,168,62.52,46
"2021-07-15 00:00:00",4105,821,0,"2021-07-15 03:48:00","2021-07-15 08:46:00",2,235.79,168,109.9,71
"2021-07-15 00:00:00",4106,513,0,"2021-07-15 04:05:00","2021-07-15 07:12:00",2,158.87,168,116.03,77
"2021-07-15 00:00:00",4201,782,0,"2021-07-15 03:59:00","2021-07-15 08:05:00",2,145.17,168,76.66,58
"2021-07-15 00:00:00",4206,648,0,"2021-07-15 04:08:00","2021-07-15 09:02:00",2,119.91,168,77.55,57
"2021-07-15 00:00:00",4302,747,0,"2021-07-15 03:57:00","2021-07-15 08:18:00",2,159.33,168,17.13,13
"2021-07-15 00:00:00",4303,647,0,"2021-07-15 04:08:00","2021-07-15 07:38:00",2,104.17,168,36.71,25
"2021-07-15 00:00:00",4401,397,0,"2021-07-15 03:42:00","2021-07-15 07:56:00",2,91.17,168,58.68,56
"2021-07-15 00:00:00",4501,479,0,"2021-07-15 04:17:00","2021-07-15 08:18:00",2,97.32,168,77.8,57
"2021-07-15 00:00:00",4505,407,0,"2021-07-15 03:54:00","2021-07-15 07:42:00",2,65.7,168,41.51,36
"2021-07-15 00:00:00",4509,401,0,"2021-07-15 03:45:00","2021-07-15 07:03:00",2,79.3,168,46.5,39
"2021-07-15 00:00:00",4511,365,0,"2021-07-15 05:35:00","2021-07-15 08:52:00",2,66.8,168,45.09,32
"2021-07-15 00:00:00",4512,465,0,"2021-07-15 05:37:00","2021-07-15 09:41:00",2,55.4,168,31.56,23
"2021-07-15 00:00:00",4513,385,0,"2021-07-15 05:47:00","2021-07-15 08:52:00",2,55.93,168,10.06,17
"2021-07-15 00:00:00",4514,571,0,"2021-07-15 05:20:00","2021-07-15 09:04:00",2,57.36,168,5.27,10
"2021-07-15 00:00:00",4517,755,0,"2021-07-15 04:29:00","2021-07-15 09:02:00",2,48.05,168,13.45,20
"2021-07-15 00:00:00",4603,561,0,"2021-07-15 04:22:00","2021-07-15 07:49:00",2,80.64,168,28.52,26
"2021-07-15 00:00:00",4715,400,0,"2021-07-15 04:26:00","2021-07-15 07:13:00",2,25.96,168,3.67,5
"2021-07-15 00:00:00",4801,349,0,"2021-07-15 04:37:00","2021-07-15 08:21:00",2,43.49,168,15.96,12
"2021-07-15 00:00:00",4816,603,0,"2021-07-15 04:24:00","2021-07-15 08:42:00",2,66.79,168,12.5,14
"2021-07-15 00:00:00",4817,463,0,"2021-07-15 04:38:00","2021-07-15 08:16:00",2,59.87,168,35.06,34
"2021-07-15 00:00:00",4818,523,0,"2021-07-15 03:50:00","2021-07-15 07:38:00",2,59.31,168,35.05,29
"2021-07-15 00:00:00",4903,576,0,"2021-07-15 03:36:00","2021-07-15 08:47:00",2,65.92,168,60.66,59
