CODRUTA,dato
4205,"56989,60045"
3603,"31173,31069"
3608,"30937,30863,30951"
7002,"31132,31131"
3603,"73942,31173,31069"
3608,"30863,30951"
4205,"56989,60045"
5801,"27561,31236"
4205,"56989,60045"
5801,"27561,61063,61626"
3603,"31173,31069"
3603,"73942,31173,31069"
3608,"30937,30863,30951"
5801,"27561,31236"
3608,"30937,30863,30951"
3603,"31173,31069"
5201,"60881,61337,60596"
4205,"56989,60045"
4205,"56989,60045"
5801,"61063,61626"
4205,"56989,60045"
5801,"27561,31236"
4205,"56989,60045"
5801,"27561,61626"
4205,"56989,61410"
3603,"73942,31173,31069"
3608,"30937,30863,30951"
4205,"56989,60045"
5201,"60881,61337,60596"
3603,"31173,31069"
3608,"30937,30863,30951"
3608,"30863,30951"
4205,"56989,60045"
5801,"27561,31236"
4205,"56989,60045"
5801,"61063,61626"
5801,"27561,31236"
7002,"31132,31131"
7506,"74382,60573"
5801,"27306,31236"
5801,"27561,31236"
5801,"27561,61063,61626"
3603,"73942,31173,31069"
3609,"31189,31174,31138"
3603,"31173,31069"
3603,"31173,31069"
4401,"61561,60641"
3608,"30937,30863,30951"
3609,"31189,31174,61932,31138"
4401,"61561,60641"
3603,"31173,31069"
3608,"30937,30863,30951"
3609,"31189,61932"
3603,"73942,31173,31069"
3605,"31255,31084"
3608,"30937,30863,30951"
3609,"31189,61932"
3603,"73942,31173,31069"
5801,"61063,61626"
4401,"61561,60641"
3603,"31173,31069"
3603,"31156,31135,31142,31173,31069"
3605,"31255,31070"
3608,"30937,30863,30951"
3609,"31189,30956,61932,30914"
4818,"74202,74202"
5401,"61933,61933"
5801,"31236,31236"
3603,"73942,31069"
3609,"31189,61932"
3603,"31156,31135,31142,31173,31069"
3608,"30863,30951"
3609,"31189,61932,30914"
3609,"61932,61932"
4509,"61926,61926"
4512,"61257,61257"
5401,"61933,61933"
